App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Puffin Web Browser,COMMUNICATION,4.3,541389,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"July 9, 2018",7.5.3.20547,4.1 and up
Seznam.cz,COMMUNICATION,4.3,46702,Varies with device,"1,000,000+",Free,0,Everyone,Communication,"July 4, 2018",Varies with device,Varies with device
Antillean Gold Telegram (original version),COMMUNICATION,4.4,2939,17M,"100,000+",Free,0,Everyone,Communication,"July 16, 2018",2.1,4.1 and up
AT&T Visual Voicemail,COMMUNICATION,3.7,13761,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"June 27, 2018",Varies with device,Varies with device
Microsoft Edge,COMMUNICATION,NaN,27187,NaN,"5,000,000+",Free,0,Everyone,Communication,"July 28, 2018",42.0.0.2059,4.4 and up
WhatsApp Messenger,COMMUNICATION,4.4,69119316,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
Messenger – Text and Video Chat for Free,COMMUNICATION,NaN,56646578,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device
imo free video calls and chat,COMMUNICATION,4.3,4785988,11M,"500,000,000+",Free,0,Everyone,Communication,"June 8, 2018",9.8.000000010501,4.0 and up
Hangouts Dialer - Call Phones,COMMUNICATION,4,122498,79k,"10,000,000+",Free,0,Everyone,Communication,"September 2, 2015",0.1.100944346,4.0.3 and up
Viber Messenger,COMMUNICATION,4.3,11334973,Varies with device,"500,000,000+",Free,0,Everyone,Communication,"July 18, 2018",Varies with device,Varies with device
Hangouts,COMMUNICATION,4,3419433,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device
"Talkatone: Free Texts, Calls & Phone Number",COMMUNICATION,4.1,132014,25M,"10,000,000+",Free,0,Everyone,Communication,"July 18, 2018",6.1,4.2 and up
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14M,"5,000,000+",Free,0,Everyone,Communication,"April 19, 2018",3.0.4,4.0 and up
free video calls and chat,COMMUNICATION,4.2,594728,Varies with device,"50,000,000+",Free,0,Everyone,Communication,"July 19, 2018",7.3(800241),4.4 and up
WeChat,COMMUNICATION,4.2,NaN,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 31, 2018",Varies with device,Varies with device
Skype - free IM & video calls,COMMUNICATION,4.1,10484169,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
Telegram,COMMUNICATION,4.4,3128509,Varies with device,"100,000,000+",Free,0,Mature 17+,Communication,"July 27, 2018",Varies with device,Varies with device
Who,COMMUNICATION,4.3,2451093,Varies with device,"100,000,000+",Free,0,Teen,Communication,"August 3, 2018",Varies with device,Varies with device
Google Voice,COMMUNICATION,4.2,171031,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,4.4,2876500,24M,"100,000,000+",Free,0,NaN,Communication,"August 1, 2018",7.73,4.0 and up
Android Messages,COMMUNICATION,4.2,781810,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device
"Messaging+ SMS, MMS Free",COMMUNICATION,4.1,28238,17M,"1,000,000+",Free,0,Everyone,Communication,NaN,4.98,2.3 and up
chomp SMS,COMMUNICATION,4.3,335646,8.3M,"10,000,000+",Free,0,Everyone,Communication,"July 26, 2018",7.21,2.3 and up
Glide - Video Chat Messenger,COMMUNICATION,NaN,350154,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"July 29, 2018",Varies with device,Varies with device
Text SMS,COMMUNICATION,4.5,349384,8.2M,"10,000,000+",Free,0,Everyone,Communication,"July 24, 2018",3.47,4.0.3 and up
Google Allo,COMMUNICATION,4.3,346982,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"January 23, 2018",Varies with device,4.1 and up
Talkray - Free Calls & Texts,COMMUNICATION,4.2,NaN,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"May 29, 2018",Varies with device,Varies with device
mysms SMS Text Messaging Sync,COMMUNICATION,4.3,37320,NaN,"1,000,000+",Free,0,Everyone,Communication,"July 30, 2018",6.5.1,4.0.3 and up
BBM - Free Calls & Messages,COMMUNICATION,4.3,12842860,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"August 2, 2018",Varies with device,4.0.3 and up
KakaoTalk: Free Calls & Text,COMMUNICATION,4.3,2546527,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
Firefox Focus: The privacy browser,COMMUNICATION,4.4,NaN,4.0M,"1,000,000+",Free,0,Everyone,Communication,"July 6, 2018",5.2,5.0 and up
Glide - Video Chat Messenger,COMMUNICATION,4.3,350154,Varies with device,"10,000,000+",Free,0,Everyone,Communication,NaN,Varies with device,Varies with device
Talkray - Free Calls & Texts,COMMUNICATION,4.2,244863,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"May 29, 2018",Varies with device,Varies with device
LINE: Free Calls & Messages,COMMUNICATION,4.2,10790289,Varies with device,"500,000,000+",Free,0,Everyone,Communication,"July 26, 2018",Varies with device,Varies with device
KakaoTalk: Free Calls & Text,COMMUNICATION,4.3,2546527,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
Calculator,DATING,2.6,57,6.2M,"1,000+",Paid,$6.99,Everyone,Dating,"October 25, 2017",1.1.6,4.0 and up
Truth or Dare Pro,DATING,NaN,0,20M,50+,Paid,$1.49,Teen,Dating,"September 1, 2017",1,4.0 and up
"Private Dating, Hide App- Blue for PrivacyHider",DATING,NaN,NaN,18k,100+,Paid,$2.99,Everyone,Dating,"July 25, 2017",1.0.1,4.0 and up
Ad Blocker for SayHi,DATING,NaN,4,1.2M,100+,Paid,$3.99,Teen,Dating,"August 2, 2018",1.2,4.0.3 and up
AMBW Dating App: Asian Men Black Women Interracial,DATING,3.5,2,17M,100+,Paid,$7.99,Mature 17+,Dating,"January 21, 2017",1.0.1,4.0 and up
Zoosk Dating App: Meet Singles,DATING,4,516801,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,"August 2, 2018",Varies with device,Varies with device
OkCupid Dating,DATING,4.1,285726,15M,"10,000,000+",Free,0,Mature 17+,Dating,"July 30, 2018",11.10.1,4.1 and up
Match™ Dating - Meet Singles,DATING,3.7,76646,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,"July 23, 2018",Varies with device,Varies with device
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556,56M,"100,000+",Free,0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up
Hinge: Dating & Relationships,DATING,4.2,7779,12M,"500,000+",Free,0,Mature 17+,Dating,"August 3, 2018",6.1.3,5.0 and up
Casual Dating & Adult Singles - Joyride,DATING,4.5,61637,11M,"5,000,000+",Free,0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up
BBW Dating & Plus Size Chat,DATING,4.4,12632,29M,"1,000,000+",Free,0,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up
"Moco - Chat, Meet People",DATING,4.2,313724,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,"August 4, 2018",2.6.141,4.1 and up
CMB Free Dating App,DATING,4,48845,40M,"1,000,000+",Free,0,Mature 17+,Dating,"August 1, 2018",4.19.0.2320,4.4 and up
Hot or Not - Find someone right now,DATING,4.1,305708,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,"August 2, 2018",Varies with device,Varies with device
eharmony - Online Dating App,DATING,3.1,31320,53M,"5,000,000+",Free,0,Mature 17+,Dating,"July 30, 2018",6.6.5,4.1 and up
Free Dating App & Flirt Chat - Match with Singles,DATING,4.4,172460,3.1M,"5,000,000+",Free,0,Mature 17+,Dating,"August 4, 2018",1.639,4.0 and up
"Chispa, the Dating App for Latino, Latina Singles",DATING,4.2,4195,24M,"100,000+",Free,0,Mature 17+,Dating,"July 25, 2018",NaN,4.4 and up
Clover Dating App,DATING,4.1,11633,23M,"500,000+",Free,0,Mature 17+,Dating,"July 24, 2018",2.5.1,4.1 and up
Black People Meet Singles Date,DATING,3.9,NaN,5.0M,"1,000,000+",Free,0,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up
Mingle2 - Free Online Dating & Singles Chat Rooms,DATING,4.3,37053,44M,"1,000,000+",Free,0,Mature 17+,Dating,"August 3, 2018",4.4B,4.1 and up
Free Dating App & Flirt Chat - Cheers,DATING,4.4,667,27M,"10,000+",Free,0,Mature 17+,Dating,"August 3, 2018",1.308.us,4.1 and up
stranger chat - anonymous chat,DATING,3.5,NaN,6.1M,"1,000,000+",Free,0,Mature 17+,Dating,"July 7, 2018",2.4.1,4.1 and up
"Blendr - Chat, Flirt & Meet",DATING,4,28671,Varies with device,"1,000,000+",Free,0,Mature 17+,Dating,"August 1, 2018",Varies with device,Varies with device
Free Dating Hook Up Messenger,DATING,3.3,1157,21M,"100,000+",Free,0,Mature 17+,Dating,"January 27, 2017",5.0.1,4.2 and up
Find Real Love — YouLove Premium Dating,DATING,4.5,212626,11M,"10,000,000+",Free,0,Mature 17+,Dating,NaN,4.17.2,4.1 and up
Once - Quality Matches Every day,DATING,4.4,222888,21M,"1,000,000+",Free,0,Mature 17+,Dating,"July 17, 2018",2.45,4.1 and up
BLK - Swipe. Match. Chat.,DATING,4.1,2067,24M,"100,000+",Free,0,Mature 17+,Dating,"July 25, 2018",1.6.1,4.4 and up
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97684,7.9M,"1,000,000+",Free,0,Mature 17+,Dating,"July 10, 2018",1.23,4.0.3 and up
OurTime Dating for Singles 50+,DATING,3.4,2519,5.0M,"100,000+",Free,0,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up
FarmersOnly Dating,DATING,3,1146,1.4M,"100,000+",Free,0,Mature 17+,Dating,"February 25, 2016",2.2,4.0 and up
Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,NaN,13M,"500,000+",Free,0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up
Sudy – Meet Elite & Rich Single,DATING,4.1,17268,40M,"500,000+",Free,0,Mature 17+,Dating,"June 25, 2018",4.1.2,4.0.3 and up
Christian Dating For Free App,DATING,3.9,8722,13M,"500,000+",Free,0,Mature 17+,Dating,"June 20, 2018",15.8,4.1 and up
Just She - Top Lesbian Dating,DATING,1.9,953,19M,"100,000+",Free,0,Mature 17+,Dating,"July 18, 2018",6.3.7,5.0 and up
Single Parent Meet #1 Dating,DATING,3.5,2593,5.0M,"500,000+",Free,0,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up
EliteSingles – Dating for Single Professionals,DATING,2.5,5377,19M,"500,000+",Free,0,Mature 17+,Dating,"July 31, 2018",4.8.5,4.0.3 and up
Millionaire Match: Rich Singles Dating App,DATING,NaN,852,27M,"100,000+",Free,0,Mature 17+,Dating,"July 30, 2018",6.4.6,4.1 and up
InterracialCupid - Interracial Dating App,DATING,3.4,NaN,3.0M,"50,000+",Free,0,Mature 17+,Dating,"June 13, 2018",2.3.0.1781,5.0 and up
Sugar Mommas Dating And Single Search,DATING,3.5,1972,13M,"1,000,000+",Free,0,Mature 17+,Dating,"May 12, 2018",4.3,4.1 and up
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35206,7.2M,"1,000,000+",Free,0,Everyone,Dating,"May 21, 2018",2.9.6,4.0 and up
"muzmatch: Muslim & Arab Singles, Marriage & Dating",DATING,3.8,NaN,25M,"100,000+",Free,0,Mature 17+,Dating,"July 24, 2018",3.8.75a,4.0.3 and up
NoBuffDating - Free Dating App,DATING,4.2,1939,Varies with device,"100,000+",Free,0,Mature 17+,Dating,"January 8, 2017",1.0.0,4.0 and up
Sugar Daddy Dating App,DATING,2.5,277,5.7M,"100,000+",Free,0,Mature 17+,Dating,"December 4, 2017",3.0.0,4.1 and up
Adult Dirty Emojis,DATING,2.8,80,5.5M,"10,000+",Free,0,Teen,Dating,"November 6, 2017",1,4.0.3 and up
Free Dating App - Meet Local Singles - Flirt Chat,DATING,NaN,825,Varies with device,"100,000+",Free,0,Mature 17+,Dating,"December 28, 2017",1.0.5,4.0 and up
"Meet4U - Chat, Love, Singles!",DATING,4.2,40035,6.5M,"1,000,000+",Free,0,Mature 17+,Dating,"July 27, 2018",1.31.3,4.0.3 and up
SnpCupid Dating,DATING,3.5,1093,5.8M,"100,000+",Free,0,Mature 17+,Dating,"January 28, 2017",1.6.6,4.2 and up
"Chat Rooms, Avatars, Date - Galaxy",DATING,4.3,135418,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,"July 7, 2018",Varies with device,Varies with device
Adult Dating - AdultFinder,DATING,3.3,1601,3.8M,"500,000+",Free,0,Mature 17+,Dating,"February 1, 2017",1.5,4.1 and up
Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212,41M,"100,000+",Free,0,Mature 17+,Dating,"June 20, 2018",2.0.5,4.0.3 and up
"Meet24 - Love, Chat, Singles",DATING,4.2,NaN,7.9M,"1,000,000+",Free,0,Mature 17+,Dating,"July 27, 2018",1.31.3,4.0.3 and up
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,NaN,2556,56M,"100,000+",Free,0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up
Hinge: Dating & Relationships,DATING,4.2,7779,12M,"500,000+",Free,0,Mature 17+,Dating,"August 3, 2018",6.1.3,5.0 and up
The League,DATING,3,837,9.4M,"100,000+",Free,0,Mature 17+,Dating,"July 16, 2018",1.15.0,4.4 and up
BBW Dating & Plus Size Chat,DATING,4.4,12632,29M,"1,000,000+",Free,0,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up
Casual Dating & Adult Singles - Joyride,DATING,4.5,61637,11M,"5,000,000+",Free,0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up
EliteSingles – Dating for Single Professionals,DATING,2.5,5377,19M,"500,000+",Free,0,Mature 17+,Dating,"July 31, 2018",4.8.5,4.0.3 and up
Clover Dating App,DATING,4.1,11633,23M,"500,000+",Free,0,Mature 17+,Dating,"July 24, 2018",2.5.1,4.1 and up
"Moco - Chat, Meet People",DATING,4.2,NaN,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,"August 4, 2018",2.6.141,4.1 and up
"Herpes Dating: 1,000K+ Singles",DATING,4,738,27M,"10,000+",Free,0,Mature 17+,Dating,"August 1, 2018",6.4.1,4.1 and up
Hot or Not - Find someone right now,DATING,4.1,305708,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,"August 2, 2018",Varies with device,Varies with device
Sky People (SPI): A secure blind date through authentication by Seoul National University,DATING,3.5,894,14M,"100,000+",Free,0,Mature 17+,Dating,"July 17, 2018",3.1.3,4.1 and up
Sweet mi - unlimited hunnam hunting blind date,DATING,4,6191,27M,"500,000+",Free,0,Mature 17+,Dating,"July 12, 2018",0.0.73,4.1 and up
Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212,41M,"100,000+",Free,0,Mature 17+,Dating,"June 20, 2018",2.0.5,4.0.3 and up
Mingle - Online Dating App to Chat & Meet People,DATING,NaN,15081,38M,"1,000,000+",Free,0,Mature 17+,Dating,"July 26, 2018",4.7.6,4.1 and up
Adult Dirty Emojis,DATING,2.8,80,5.5M,"10,000+",Free,0,Teen,Dating,"November 6, 2017",1,4.0.3 and up
BBW Dating & Curvy Singles Chat- LargeFriends,DATING,4.4,218,27M,"10,000+",Free,0,Mature 17+,Dating,"July 23, 2018",5.2.9,4.1 and up
Transenger – Ts Dating and Chat for Free,DATING,NaN,8,14M,"1,000+",Free,0,Mature 17+,Dating,"July 29, 2018",1.4.0,4.4 and up
O-Star,DATING,4.4,59,38M,"5,000+",Free,0,Everyone,Dating,"July 19, 2018",1.0.1,4.3 and up
Girls Live Chat - Free Text & Video Chat,DATING,4.8,110,4.9M,"10,000+",Free,0,Mature 17+,Dating,"July 9, 2018",8.2,4.0.3 and up
Random Video Chat,DATING,NaN,3,16M,"1,000+",Free,0,Mature 17+,Dating,"July 15, 2018",4.2,4.0.3 and up
MouseMingle,DATING,2.7,3,3.9M,100+,Free,0,Mature 17+,Dating,"July 17, 2018",1.0.0,4.4 and up
American Girls Mobile Numbers,DATING,5,5,4.4M,"1,000+",Free,0,Mature 17+,Dating,"July 17, 2018",3,4.0.3 and up
Random Video Chat App With Strangers,DATING,NaN,3,4.8M,"1,000+",Free,0,Mature 17+,Dating,"July 17, 2018",1,4.0 and up
FREE VIDEO CHAT - LIVE VIDEO AND TEXT CHAT,DATING,4.8,84,4.5M,"1,000+",Free,0,Mature 17+,Dating,"July 6, 2018",8.2,4.0.3 and up
Awake Dating,DATING,5,2,70M,100+,Free,0,Mature 17+,Dating,"July 24, 2018",2.2.9,4.4 and up
Live Chat - Free Video Chat Rooms,DATING,4.8,20,4.9M,500+,Free,0,Mature 17+,Dating,"July 15, 2018",8.2,4.0.3 and up
Meet With Strangers: Video Chat & Dating,DATING,NaN,2,3.7M,500+,Free,0,Mature 17+,Dating,"July 16, 2018",1,4.0 and up
FREE LIVE TALK,DATING,4.9,776,4.9M,"5,000+",Free,0,Mature 17+,Dating,"July 14, 2018",8.2,4.0.3 and up
Random Chat App with Strangers,DATING,3,2,16M,100+,Free,0,Mature 17+,Dating,"July 17, 2018",2.5,4.0.3 and up
Ost. Zombies Cast - New Music and Lyrics,DATING,NaN,1,4.6M,100+,Free,0,Teen,Dating,NaN,1,4.0.3 and up
Dating White Girls,DATING,NaN,0,3.6M,50+,Free,0,Mature 17+,Dating,"July 20, 2018",1,4.0 and up
Live Chat - Free Video Talk,DATING,4.7,14,21M,"5,000+",Free,0,Mature 17+,Dating,"August 3, 2018",1.3,4.1 and up
Geeks Dating,DATING,NaN,0,13M,50+,Free,0,Mature 17+,Dating,"July 10, 2018",1,4.1 and up
Live chat - free video chat,DATING,NaN,1,8.7M,500+,Free,0,Mature 17+,Dating,"July 23, 2018",3.52,4.0.3 and up
House party - live chat,DATING,1,1,9.2M,10+,Free,0,Mature 17+,Dating,"July 31, 2018",3.52,4.0.3 and up
Fishing Brain & Boating Maps Marine,DATING,NaN,3,6.9M,500+,Free,0,Everyone,Dating,"July 23, 2018",1,4.0.3 and up
CAM5678 Video Chat,DATING,NaN,0,39M,500+,Free,0,Mature 17+,Dating,"July 13, 2018",5.5.8,4.0.3 and up
Video chat live advices,DATING,NaN,0,8.0M,100+,Free,0,Everyone,Dating,"July 10, 2018",1,3.0 and up
chat live chat,DATING,NaN,24,3.9M,"1,000+",Free,0,Mature 17+,Dating,"July 26, 2018",1,4.0 and up
Pet Lovers Dating,DATING,NaN,0,14M,10+,Free,0,Mature 17+,Dating,"July 9, 2018",1,4.1 and up
Friend Find: free chat + flirt dating app,DATING,NaN,23,11M,100+,Free,0,Mature 17+,Dating,"July 31, 2018",1,4.4 and up
Latin Dating,DATING,NaN,0,13M,10+,Free,0,Mature 17+,Dating,"July 9, 2018",1,4.1 and up
Spine- The dating app,DATING,5,5,9.3M,500+,Free,0,Teen,Dating,"July 14, 2018",4,4.0.3 and up
Online Chat Girls Meet,DATING,4.7,18,5.0M,500+,Free,0,Mature 17+,Dating,"July 25, 2018",8.2,4.0.3 and up
Wifi Mingle,DATING,NaN,0,10.0M,10+,Free,0,Everyone,Dating,"July 27, 2018",1.3,4.4 and up
Girls Live Talk - Free Text and Video Chat,DATING,5,6,5.0M,100+,Free,0,Mature 17+,Dating,"August 1, 2018",8.2,4.0.3 and up
Soy Luna - Top Music And Lyrics,DATING,NaN,1,5.0M,100+,Free,0,Teen,Dating,"July 24, 2018",1,4.0.3 and up
When Will You Get Married,DATING,NaN,2,3.6M,10+,Free,0,Everyone,Dating,"July 14, 2018",1,4.0.3 and up
HOW TO ASK A GIRL OUT,DATING,NaN,0,19M,10+,Free,0,Everyone,Dating,"July 16, 2018",1,4.0.3 and up
Online Girls Chat Group,DATING,5,5,5.0M,100+,Free,0,Mature 17+,Dating,"August 2, 2018",8.2,4.0.3 and up
The DJ - Match with People,DATING,NaN,0,9.8M,50+,Free,0,Mature 17+,Dating,"August 2, 2018",1.2,4.1 and up
Toronto Dating,DATING,NaN,0,14M,100+,Free,0,Mature 17+,Dating,"July 12, 2018",1,4.1 and up
i miss you quotes and photos,DATING,NaN,0,5.0M,100+,Free,0,Everyone,Dating,"July 22, 2018",1.0.7,4.0 and up
JoJo Siwa Top Hits Music,DATING,NaN,0,4.9M,10+,Free,0,Teen,Dating,"July 26, 2018",1,4.0.3 and up
UK Girls Mobile Numbers,DATING,3,1,5.5M,500+,Free,0,Mature 17+,Dating,"July 19, 2018",1,4.0.3 and up
chat saudi arabia,DATING,4.1,11,11M,"1,000+",Free,0,Mature 17+,Dating,"July 14, 2018",1.1,4.0 and up
Chat Click - Dating Search,DATING,NaN,4,3.8M,500+,Free,0,Mature 17+,Dating,"July 11, 2018",1,3.0 and up
Iraq love chat,DATING,NaN,14,5.0M,50+,Free,0,Teen,Dating,"August 3, 2018",8.2,4.0.3 and up
Healthy Relationships Guide,DATING,NaN,0,8.2M,1+,Free,0,Everyone,Dating,"July 31, 2018",2,4.0.3 and up
following,DATING,NaN,1,21M,10+,Free,0,Mature 17+,Dating,"July 24, 2018",1.0.3,4.2 and up
Gods by Night,DATING,NaN,104,12M,"1,000+",Free,0,Mature 17+,Dating,"July 22, 2018",3.5.4.2.3,4.1 and up
PlusOne,DATING,NaN,0,10M,NaN,Free,0,Mature 17+,Dating,"July 17, 2018",1.1.1,4.2 and up
Love Calendar - Couple Sharing Calendar & CoupleDay,DATING,NaN,14,3.3M,50+,Free,0,Everyone,Dating,"July 30, 2018",1.6,4.1 and up
Speeding Joyride & Car Meet App,DATING,5,3,25M,100+,Free,0,Mature 17+,Dating,"July 20, 2018",1.2.9,4.1 and up
LOBSTR - go on a lunch date,DATING,3.7,101,15M,"10,000+",Free,0,Mature 17+,Dating,"July 24, 2018",2,4.1 and up
Titanic App - Feminist Dating Application,DATING,4.5,120,10M,500+,Free,0,Mature 17+,Dating,"August 4, 2018",1.5-beta,5.0 and up
French Chat Room,DATING,4.2,24,4.9M,"1,000+",Free,0,Mature 17+,Dating,"July 11, 2018",1,4.0.3 and up
Soul Mate,DATING,NaN,0,4.4M,10+,Free,0,Mature 17+,Dating,"July 19, 2018",4.5.0,4.0.3 and up
Diamond Engagement Rings,DATING,NaN,0,3.5M,5+,Free,0,Everyone,Dating,"July 12, 2018",6.1,4.0 and up
Dating Tips For Men,DATING,NaN,0,7.8M,10+,Free,0,Everyone,Dating,"July 9, 2018",3,4.0.3 and up
Halalguur,DATING,4.3,6,9.0M,100+,Free,0,Mature 17+,Dating,"July 26, 2018",3.7,4.0.3 and up
95Live -SG#1 Live Streaming App,DATING,4.1,4954,15M,"1,000,000+",Free,0,Teen,Dating,"August 1, 2018",8.7.2,4.2 and up
Just She - Top Lesbian Dating,DATING,1.9,954,19M,"100,000+",Free,0,Mature 17+,Dating,"July 18, 2018",6.3.7,5.0 and up
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2560,56M,"100,000+",Free,0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up
O-Star,DATING,4.4,59,38M,"5,000+",Free,0,Everyone,Dating,"July 19, 2018",1.0.1,4.3 and up
Random Video Chat,DATING,NaN,3,16M,"1,000+",Free,0,Mature 17+,Dating,"July 15, 2018",4.2,4.0.3 and up
